epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,681.167,2.02668,1.64266,1.23488,0.45017,0.40303,0.36839,0.17268,2.08259,1.61577,1.25156,0.000160775,0.000160775,0.000160775
43,697.359,2.05096,1.69163,1.25026,0.46211,0.39404,0.37115,0.16738,2.15125,1.60666,1.2666,0.000157025,0.000157025,0.000157025
44,713.621,2.11151,1.73524,1.26066,0.49241,0.37832,0.34583,0.14769,2.22167,1.7001,1.3166,0.000153245,0.000153245,0.000153245
45,729.793,2.08916,1.70455,1.23164,0.42717,0.39451,0.34559,0.16292,2.07854,1.69193,1.24653,0.000149438,0.000149438,0.000149438
46,746.011,2.0768,1.61003,1.24586,0.48002,0.38839,0.34644,0.15912,2.13957,1.64651,1.28242,0.000145609,0.000145609,0.000145609
47,762.232,2.0901,1.64039,1.21387,0.48934,0.39058,0.34742,0.15379,2.11749,1.68079,1.25469,0.00014176,0.00014176,0.00014176
48,778.54,2.02292,1.60976,1.21437,0.45634,0.37919,0.3586,0.16663,2.11895,1.69443,1.27328,0.000137896,0.000137896,0.000137896
49,794.798,2.04374,1.63426,1.22801,0.55404,0.37631,0.37858,0.17042,2.12244,1.73446,1.24743,0.00013402,0.00013402,0.00013402
50,810.93,1.99065,1.67022,1.19446,0.51098,0.37838,0.37488,0.17448,2.06951,1.59292,1.24144,0.000130137,0.000130137,0.000130137
51,827.373,1.99413,1.62305,1.21826,0.52143,0.39947,0.36783,0.16606,2.05367,1.62667,1.24951,0.00012625,0.00012625,0.00012625
52,843.438,1.97341,1.61745,1.17358,0.4967,0.42607,0.37632,0.18493,2.00818,1.56659,1.24201,0.000122363,0.000122363,0.000122363
53,859.641,2.03473,1.61957,1.23066,0.43847,0.4024,0.33146,0.16319,2.04432,1.65003,1.25148,0.00011848,0.00011848,0.00011848
54,876.025,2.00937,1.60253,1.20378,0.47859,0.4448,0.38906,0.187,2.04027,1.59442,1.2422,0.000114604,0.000114604,0.000114604
